sub,trial,website,duration,operation,blink,fixation,blink_interval,fixation_count
3,Ctl,Tmall,47,18,17,134,2.76 ,2.85 
2,Exp,JD,43,11,5,124,8.60 ,2.88 
9,Ctl,JD,52,12,26,347,2.00 ,6.67 
10,Exp,JD,37,19,6,109,6.17 ,2.95 
8,Exp,Tmall,31,13,5,79,6.20 ,2.55 
1,Ctl,Tmall,108,27,23,190,4.70 ,1.76 
4,Exp,JD,33,10,11,73,3.00 ,2.21 
5,Ctl,Tmall,59,12,12,242,4.92 ,4.10 
7,Ctl,Tmall,57,16,15,117,3.80 ,2.05 
6,Exp,JD,55,18,14,131,3.93 ,2.38 
10,Ctl,Tmall,41,13,12,188,3.42 ,4.59 
9,Exp,Tmall,22,11,5,58,4.40 ,2.64 
1,Exp,JD,47,14,11,123,4.27 ,2.62 
8,Ctl,JD,45,16,9,196,5.00 ,4.36 
3,Exp,JD,31,19,6,86,5.17 ,2.77 
2,Ctl,Tmall,51,11,9,124,5.67 ,2.43 
7,Exp,JD,60,14,9,139,6.67 ,2.32 
6,Ctl,Tmall,64,22,11,144,5.82 ,2.25 
4,Ctl,Tmall,37,10,15,119,2.47 ,3.22 
5,Exp,JD,43,14,12,132,3.58 ,3.07 
10,Ctl,JD,48,15,14,177,3.43 ,3.69 
9,Exp,JD,36,15,6,96,6.00 ,2.67 
1,Exp,Tmall,42,12,5,106,8.40 ,2.52 
8,Ctl,Tmall,37,13,8,148,4.63 ,4.00 
3,Exp,Tmall,24,11,6,64,4.00 ,2.67 
2,Ctl,JD,71,22,9,163,7.89 ,2.30 
7,Exp,Tmall,47,13,9,108,5.22 ,2.30 
6,Ctl,JD,72,16,11,217,6.55 ,3.01 
4,Ctl,JD,43,10,23,143,1.87 ,3.33 
5,Exp,Tmall,44,12,8,128,5.50 ,2.91 
3,Ctl,JD,50,16,18,145,2.78 ,2.90 
2,Exp,Tmall,43,9,5,130,8.60 ,3.02 
9,Ctl,Tmall,44,10,21,351,2.10 ,7.98 
10,Exp,Tmall,31,16,3,78,10.33 ,2.52 
8,Exp,JD,41,16,5,100,8.20 ,2.44 
1,Ctl,JD,117,28,13,205,9.00 ,1.75 
4,Exp,Tmall,38,10,11,91,3.45 ,2.39 
5,Ctl,JD,39,13,8,198,4.88 ,5.08 
7,Ctl,JD,48,13,15,166,3.20 ,3.46 
6,Exp,Tmall,29,13,5,66,5.80 ,2.28 
